127.0.0.1 - - [29/Dec/2025:10:00:02 +0100] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:02:54 +0100] "GET /tp_revision/index.html HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:02:54 +0100] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:03:01 +0100] "GET /tp_revision/index.html HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:10:20 +0100] "GET /tp_revision/index.html HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:10:20 +0100] "GET /tp_revision/assets/css/style.css HTTP/1.1" 200 2548
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:10:20 +0100] "GET /tp_revision/assets/js/ui-common.js HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:10:20 +0100] "GET /tp_revision/assets/js/api.js HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:10:22 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:10:25 +0100] "GET /tp_revision/add.html HTTP/1.1" 200 2031
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:10:37 +0100] "POST /tp_revision/exercice/revision/persons HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:10:39 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:12:07 +0100] "GET /tp_revision/edit.html?id=1 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:12:08 +0100] "GET /tp_revision/assets/js/api.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:12:08 +0100] "GET /tp_revision/exercice/revision/persons/1 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:12:09 +0100] "PUT /tp_revision/exercice/revision/persons/1 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:12:12 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:12:12 +0100] "GET /tp_revision/search.html HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:12:15 +0100] "GET /tp_revision/exercice/revision/persons/1233 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:12:18 +0100] "DELETE /tp_revision/exercice/revision/persons/1 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [29/Dec/2025:10:12:18 +0100] "GET /tp_revision/exercice/revision/persons HTTP/1.1" 200 2
